question,answer,category
What is the company leave policy?,"NovaTech Solutions provides a total of 24 days of annual paid leave, comprising 8 casual leave days, 8 sick leave days, and 8 earned leave days per calendar year.",Leave Policy
Can new employees take leave during probation?,New employees accrue leave on a pro-rata basis during probation and can apply for casual or sick leave with manager approval.,Leave Policy
What happens to unavailed leaves at the end of the year?,"Unused casual and sick leaves lapse at the end of the calendar year, while up to 5 earned leaves can be encashed or carried forward.",Leave Policy
What is the sabbatical leave policy?,Employees with over 3 years of continuous service can request an unpaid sabbatical of up to 6 months for higher studies or personal reasons.,Leave Policy
How does maternity leave work at NovaTech Solutions?,"Female employees are entitled to 26 weeks of paid maternity leave for up to two surviving children, as per statutory regulations.",Maternity Leave
Does the company provide paternity leave?,Male employees are eligible for 10 consecutive working days of paid paternity leave within 6 months of the child's birth.,Paternity Leave
What is the bereavement leave policy?,Employees receive up to 5 days of paid bereavement leave in the event of the loss of an immediate family member.,Bereavement Leave
Can I take leave without pay (LWP)?,"Leave Without Pay (LWP) can be requested if all paid leave balances are exhausted, subject to approval by HR and the department head.",Leave Policy
How many casual leave days do I get?,"Employees are allotted 8 casual leave days per year for personal errands, family commitments, or short planned absences.",Casual Leave
Can casual leave be combined with other leave types?,Casual leave cannot be combined with earned leave or sick leave without explicit written approval from your manager.,Casual Leave
How far in advance should casual leave be applied?,Casual leave should be requested at least 24 hours in advance through the NovaTech HR Portal.,Casual Leave
What is the sick leave policy?,All full-time employees receive 8 days of paid sick leave annually for medical recovery and health-related absences.,Sick Leave
When is a medical certificate required for sick leave?,A valid medical certificate from a registered practitioner is required for sick leave exceeding two consecutive working days.,Sick Leave
How do I notify HR if I am unwell and taking sick leave?,Inform your manager via email or Slack by 9:30 AM and log the sick leave request in the HR Portal on your first day back.,Sick Leave
Can sick leave be encashed?,Sick leave cannot be encashed and does not carry forward into the next calendar year.,Sick Leave
How many earned leave days are provided per year?,Full-time employees earn 8 days of paid annual leave per year after completing 6 months of continuous service.,Earned Leave
How do I request earned leave?,Earned leave requests must be submitted at least two weeks in advance through the HR Portal and require manager approval.,Earned Leave
Can earned leave be carried forward to the next year?,Up to 5 unused earned leave days can be carried forward into the next calendar year.,Earned Leave
How does earned leave encashment work?,Earned leave encashment is processed during the December payroll for up to 5 unused days based on basic salary calculation.,Earned Leave
What is the work from home policy at NovaTech Solutions?,NovaTech offers a hybrid work model allowing up to two days of work from home per week for eligible roles.,Work From Home
Can I work remotely on a full-time basis?,Permanent full-time remote work is reserved for specific pre-approved roles and requires approval from the HR Director.,Remote Work
How do I request a work from home day?,"Submit your WFH request on the HR Portal at least 24 hours prior, specifying your work plan for the day.",Work From Home
Are remote employees eligible for an internet reimbursement?,"Employees working in approved full-time remote roles can claim an internet allowance of up to Rs. 1,500 per month.",Reimbursements
What are the hardware guidelines for working from home?,Employees must use company-issued laptops and secure VPN connections when working remotely to maintain data security.,Remote Work
Can I work from a different city or country temporarily?,Temporary work from another city is allowed for up to 14 days per year with manager approval. International remote work is prohibited due to tax compliance.,Remote Work
What are the standard working hours at NovaTech?,"Standard office working hours are 9:00 AM to 6:00 PM, Monday through Friday, including a 1-hour lunch break.",Working Hours
Does NovaTech offer flexible working hours?,"Yes, flexible timing allows employees to start their workday between 8:00 AM and 10:00 AM, completing 8 core working hours daily.",Flexible Working
How is daily attendance recorded?,Attendance is recorded automatically through biometric access card scans at office turnstiles and SSO logins on remote days.,Attendance
What is the policy for late arrivals?,Arriving after 10:00 AM without prior manager notice counts as a late mark. Three late marks in a month lead to a half-day leave deduction.,Late Arrival
Where can I view my monthly attendance record?,Log into the Employee Self-Service (ESS) portal under the Attendance tab to view swipe logs and leave balances.,Attendance
How is overtime calculated and compensated?,Pre-approved weekend or overtime work beyond 40 hours a week is compensated with compensatory off (Comp-Off) or 1.5x hourly pay.,Overtime
How do I apply for a compensatory off (Comp-Off)?,Comp-off can be claimed in the HR Portal within 30 days of working on a holiday or weekend with manager verification.,Overtime
How many public holidays does NovaTech observe?,NovaTech Solutions observes 10 mandatory public holidays per calendar year as published in the annual holiday calendar.,Holidays
Are employees entitled to optional or restricted holidays?,"Yes, employees can select 2 optional holidays from a regional festival list provided at the beginning of the year.",Holidays
Where can I download the annual holiday calendar?,The annual company holiday calendar is available for download under the Resources section of the HR Portal.,Holidays
When is the monthly salary credited?,Salaries are credited directly to employee bank accounts on the last working day of every month.,Payroll
How can I download my monthly payslips?,Payslips can be downloaded from the Employee Self-Service (ESS) portal under Payroll -> Salary Slips.,Payslips
What components make up the salary structure?,"Salary consists of Basic Pay, House Rent Allowance (HRA), Special Allowance, Provident Fund (PF), and Performance Bonus.",Salary
Who should I contact if there is an error in my payslip?,Contact the payroll team at payroll@novatech.com or raise a ticket on the HR Portal under Payroll Queries.,Payroll
How do I update my direct deposit bank details?,Update your bank account information under My Profile in the HR Portal and upload a cancelled cheque for verification.,Payroll
When is Form 16 issued for income tax filing?,Form 16 is generated and uploaded to the ESS portal by June 15th following the end of each financial year.,Payroll
Can I get an advance on my salary?,"Salary advances are permitted only in emergency situations for employees with at least 1 year of service, subject to HR approval.",Salary
What is the Provident Fund (PF) contribution rate?,"As per statutory norms, 12% of Basic Salary is deducted as the employee PF contribution, matched equally by NovaTech.",PF
How do I update my tax declaration investment proofs?,Submit tax-saving investment proofs on the HR Portal during the declaration window between December and February.,Payroll
When is the annual performance bonus paid?,The annual performance bonus is evaluated during annual reviews and paid out in the April payroll cycle.,Bonuses
What is the employee referral bonus policy?,"Employees who refer candidates hired for full-time roles receive a referral bonus ranging from Rs. 15,000 to Rs. 50,000 after the hire completes 90 days.",Bonuses
Are there spot awards or quarterly incentives?,Managers can nominate high performers for Spot Recognition Awards and quarterly team performance bonuses.,Bonuses
What health insurance coverage does NovaTech offer?,"NovaTech provides comprehensive group health insurance of Rs. 500000 per annum covering the employee, spouse, and up to two children.",Insurance
Are parents covered under the company health insurance?,Parents can be added to the group health insurance plan during open enrollment by paying a subsidized premium top-up.,Insurance
How do I initiate a cashless hospital claim?,Present your TPA health card and ID proof at any empanelled network hospital and notify HR within 24 hours of admission.,Insurance
Does NovaTech provide term life and accidental insurance?,"Yes, all full-time employees are covered under Group Term Life and Personal Accident Insurance at no additional cost.",Insurance
What wellness benefits are available to employees?,"NovaTech offers free annual health checkups, discounted gym memberships, ergonomic workstation assessments, and wellness webinars.",Health & Wellness
Does the company offer mental health counseling?,"Yes, NovaTech provides access to a confidential Employee Assistance Program (EAP) offering free 24/7 mental health counseling.",Health & Wellness
How often are formal performance reviews conducted?,NovaTech conducts biannual performance evaluations—a mid-year review in July and an annual appraisal review in January.,Performance Reviews
How are performance ratings calculated?,"Performance ratings are based on goal achievement (OKRs/KPIs), core competencies, team collaboration, and 360-degree feedback.",Performance Reviews
What are the criteria for employee promotion?,"Promotions are evaluated during annual reviews based on sustained high performance, readiness for higher responsibility, and business need.",Promotions
What happens if an employee receives a low performance rating?,Employees needing improvement receive constructive feedback and are enrolled in a 60-day Performance Improvement Plan (PIP) with mentor guidance.,Performance Reviews
Can employees request a 1-on-1 career review with HR?,"Yes, employees can schedule career development sessions with their dedicated HR Business Partner (HRBP) anytime.",Career Development
What learning platforms do employees have access to?,"All employees receive complimentary access to Udemy for Business, Coursera, and NovaTech's internal Learning Management System (LMS).",Training & Learning
Does NovaTech reimburse professional certification fees?,NovaTech reimburses up to 100% of approved professional certification costs upon successful passing of the examination.,Certifications
How do I request approval for an external course or workshop?,Submit a Learning Request in the LMS portal with course details and your manager's approval prior to enrollment.,Training & Learning
Are mandatory compliance trainings required annually?,"Yes, all employees must complete annual refresher modules on Information Security, Code of Conduct, and Prevention of Sexual Harassment (POSH).",Training & Learning
Is there higher education support available?,NovaTech offers tuition assistance and flexible work schedules for employees pursuing master's degrees or executive programs relevant to their role.,Career Development
How long is the employee probation period?,The standard probation period for all new hires at NovaTech Solutions is 6 months from the date of joining.,Onboarding
What happens during the onboarding orientation week?,"New hires undergo a 3-day orientation covering company history, IT setup, HR policy walkthroughs, and department introductions.",Onboarding
How is probation confirmation evaluated?,"At 5.5 months, your manager and HR conduct a probation review. Upon satisfactory performance, a formal confirmation letter is issued.",Probation
Can the probation period be extended?,"If performance goals are not met, probation may be extended by up to 3 months with specific actionable feedback provided.",Probation
What documents must be submitted on the first day?,"New hires must upload educational certificates, past employment relieving letters, government ID proofs, tax documents, and emergency contact details.",Onboarding
What is the Buddy Program?,Each new hire is paired with an experienced peer (Buddy) for the first 30 days to assist with acclimatization and culture.,Onboarding
How do I submit my resignation at NovaTech Solutions?,Submit your formal resignation through the Employee Self-Service portal under Exit Management and notify your manager via email.,Resignation
What is the standard notice period requirement?,"The standard notice period is 60 days for confirmed full-time employees, 30 days for probationers, and 90 days for managerial roles.",Notice Period
Can the notice period be shortened or bought out?,"Notice period buyout requires approval from the department head and HR, subject to business continuity and project handover requirements.",Notice Period
What occurs during the exit interview?,HR conducts an exit interview during your final week to gather candid feedback about your experience at NovaTech.,Exit Process
When is the Full and Final (FnF) settlement processed?,"FnF settlements, including encashment and pending dues, are processed within 30 to 45 days after your last working day.",Exit Process
When will I receive my Relieving Letter and Experience Certificate?,Relieving and experience letters are issued digitally via email upon successful completion of the FnF settlement process.,Exit Process
What company assets must be returned upon resignation?,"All company-issued equipment including laptops, monitors, access badges, corporate credit cards, and tokens must be returned on your last working day.",Exit Process
How do I contact IT Support for technical issues?,Raise a ticket on the IT Service Desk portal or call the internal IT hotline at ext. 4357 (HELP) for urgent hardware issues.,IT Support
What should I do if I lose my laptop or access badge?,Report lost equipment immediately to IT Security and Facilities at security@novatech.com to revoke access credentials.,IT Support
How often are employee laptops upgraded?,Developer and technical laptops are eligible for hardware refresh or upgrade every 3 years.,IT Support
Is cafeteria food complimentary?,"NovaTech provides subsidized meals in the main cafeteria, alongside complimentary coffee, tea, and healthy snacks on all floors.",Office Facilities
Does the company provide transport or cab facilities?,NovaTech operates free shuttle buses along major city routes during morning and evening shift hours.,Office Facilities
How do I request visitor access for a client or guest?,Pre-register visitors on the Facilities Management portal at least 4 hours in advance to issue temporary visitor badges.,Office Facilities
Is there dedicated employee parking on premises?,"Free covered parking for two-wheelers and four-wheelers is available on a first-come, first-served basis with a valid parking permit sticker.",Office Facilities
What is NovaTech's policy on Prevention of Sexual Harassment (POSH)?,NovaTech enforces zero tolerance for harassment. Complaints are confidentially investigated by the Internal Complaints Committee (ICC).,Code of Conduct
How do I report an ethical violation or misconduct?,Report concerns confidentially via the Ethics Hotline email at ethics@novatech.com or submit an anonymous complaint through the portal.,Employee Grievances
What is the company policy regarding non-disclosure and confidentiality?,"Employees must strictly protect proprietary code, client data, and trade secrets as outlined in the signed Non-Disclosure Agreement (NDA).",Company Policies
What is the dress code at NovaTech Solutions?,"NovaTech follows a smart casual dress code Monday through Thursday, with casual attire (jeans and t-shirts) allowed on Fridays.",Code of Conduct
What is the policy on secondary employment or freelancing?,Moonlighting or secondary employment is prohibited without prior written authorization from the HR Director to prevent conflicts of interest.,Company Policies
How does NovaTech handle data privacy and GDPR compliance?,NovaTech complies with international data privacy laws; employee and client data is encrypted and strictly accessible on a need-to-know basis.,Data Privacy
What is the social media policy for employees?,Employees must not post confidential company information or speak officially on behalf of NovaTech without media team approval.,Code of Conduct
What is the procedure for filing an employee grievance?,Submit your grievance in writing to your HR Business Partner. HR will initiate a formal review and schedule a meeting within 3 business days.,Employee Grievances
How do I apply for an Internal Job Posting (IJP)?,Browse open internal positions on the Career Portal. Employees with 12+ months in their current role can apply with manager notification.,Internal Transfers
Can I transfer to a different regional office or department?,"Inter-departmental or location transfers can be requested through HR, subject to business requirements and performance standing.",Internal Transfers
What should I do if I have a conflict with my reporting manager?,Discuss the situation with your designated HR Business Partner for impartial mediation and guidance.,Manager / Team Issues
What is the domestic business travel reimbursement policy?,"Business travel expenses including airfare, accommodation, and local transport are fully reimbursable as per company travel band limits.",Expense Claims
How much is the daily meal allowance (per diem) during business travel?,Employees on domestic business travel receive a daily per diem allowance of Rs. 1500 to cover meals and incidentals.,Expense Claims
What is the deadline for submitting expense reimbursement claims?,Expense claims accompanied by original bills must be submitted on the Finance Portal within 30 days of trip completion.,Expense Claims
How do I apply for a corporate credit card?,Frequent business travelers can request a corporate credit card through Finance with department head approval.,Expense Claims
How do I request an employment verification letter?,Generate an automated Employment Verification Letter directly from the ESS portal under Documents -> Letter Generation.,Company Policies
Does NovaTech offer relocation assistance for outstation candidates?,"Yes, outstation hires receive relocation support including travel reimbursement, 14 days initial hotel stay, and a relocation stipend.",Onboarding
