job_id,title,department,description,required_skills,experience,location,experience_level
1,Software Engineer,Software Engineering,Write clean maintainable code participate in code reviews and contribute to software design and development.,"java,python,data structures,algorithms,git,sql",0-2 years,Pune,Fresher
2,Software Developer,Software Engineering,Develop and maintain software applications working closely with product and design teams.,"c++,java,python,agile,git",2-5 years,Remote,Mid Level
3,Backend Developer,Software Engineering,Develop robust server-side applications microservices and database integrations for enterprise systems.,"java,spring boot,rest api,microservices,sql,redis",2-5 years,Chennai,Mid Level
4,Frontend Developer,Software Engineering,Create responsive and accessible user interfaces using modern frontend frameworks and best practices.,"html,css,javascript,react,typescript,responsive design",2-5 years,Mumbai,Mid Level
5,Full Stack Developer,Software Engineering,Build end-to-end web applications handling both frontend interfaces and backend server logic.,"javascript,react,node.js,python,sql,mongodb",0-2 years,Delhi,Fresher
6,Java Developer,Software Engineering,Design develop and maintain Java-based enterprise applications.,"java,spring boot,hibernate,maven,sql,git",0-2 years,Kolkata,Fresher
7,Python Developer,Software Engineering,Design and develop backend services and APIs using Python frameworks for internal and client-facing applications.,"python,django,flask,rest api,sql,git",5-8+ years,Pune,Senior
8,Node.js Developer,Software Engineering,Build scalable network applications and backend services using Node.js.,"node.js,express,javascript,mongodb,rest api",2-5 years,Remote,Mid Level
9,.NET Developer,Software Engineering,Develop and deploy enterprise applications using the .NET framework.,"c#,.net,asp.net,sql server,azure",5-8+ years,Kolkata,Senior
10,Mobile App Developer,Software Engineering,Design and build advanced applications for iOS and Android platforms.,"swift,kotlin,react native,flutter,mobile ui",5-8+ years,Ahmedabad,Senior
11,DevOps Engineer,Software Engineering,Automate deployment pipelines manage cloud infrastructure and ensure system reliability and scalability.,"docker,kubernetes,ci/cd,aws,jenkins,terraform,linux",0-2 years,Ahmedabad,Entry Level
12,Cloud Engineer,Software Engineering,Design and manage cloud infrastructure solutions ensuring high availability security and cost optimization.,"aws,azure,cloud architecture,terraform,docker,networking",2-5 years,Hyderabad,Mid Level
13,Site Reliability Engineer,Software Engineering,Ensure maximum uptime and performance of our infrastructure and services.,"linux,python,kubernetes,monitoring,aws,troubleshooting",0-2 years,Hyderabad,Entry Level
14,Data Analyst,Data,Analyze business data build dashboards and generate insights to support data-driven decision making across departments.,"python,sql,excel,statistics,data visualization,power bi",2-5 years,Ahmedabad,Mid Level
15,Data Scientist,Data,Develop predictive models design experiments and deploy ML solutions to solve complex business problems.,"python,machine learning,statistics,pandas,numpy,scikit-learn",5-8+ years,Mumbai,Senior
16,Machine Learning Engineer,Data,Build and deploy scalable machine learning pipelines and maintain production ML systems.,"python,tensorflow,pytorch,mlops,docker,kubernetes",2-5 years,Bangalore,Mid Level
17,AI Engineer,Data,Develop artificial intelligence models for language and vision applications.,"python,deep learning,nlp,computer vision,pytorch,transformers",2-5 years,Remote,Mid Level
18,NLP Engineer,Data,Build natural language processing systems for text classification and generation.,"python,nlp,spacy,transformers,huggingface,machine learning",2-5 years,Kolkata,Mid Level
19,Data Engineer,Data,Design and build data pipelines architectures and scalable data processing systems.,"python,sql,spark,hadoop,kafka,aws,etl",0-2 years,Gurgaon,Entry Level
20,BI Developer,Data,Develop and maintain business intelligence solutions and interactive dashboards.,"power bi,tableau,sql,data warehousing,etl",0-2 years,Gurgaon,Entry Level
21,ML Ops Engineer,Data,Deploy and monitor machine learning models in production environments.,"mlops,docker,kubernetes,python,ci/cd,aws",5-8+ years,Gurgaon,Senior
22,Cybersecurity Analyst,Cybersecurity,Monitor security threats conduct vulnerability assessments and implement security policies to protect company assets.,"network security,siem,penetration testing,incident response,firewall",5-8+ years,Remote,Senior
